dbn,school_name,boro,primary_address_line_1,city,state_code,zip,Location 1,start_time,end_time
17K548,Brooklyn School for Music & Theatre,Brooklyn,883 Classon Avenue,Brooklyn,NY,11225,"883 Classon Avenue
Brooklyn, NY 11225
(40.67029890700047, -73.96164787599963)",08:10:00,15:00:00
09X543,High School for Violin and Dance,Bronx,1110 Boston Road,Bronx,NY,10456,"1110 Boston Road
Bronx, NY 10456
(40.8276026690005, -73.90447525699966)",08:00:00,15:00:00
09X327,Comprehensive Model School Project M.S. 327,Bronx,1501 Jerome Avenue,Bronx,NY,10452,"1501 Jerome Avenue
Bronx, NY 10452
(40.842414068000494, -73.91616158599965)",08:00:00,16:00:00
02M280,Manhattan Early College School for Advertising,Manhattan,411 Pearl Street,New York,NY,10038,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)",08:30:00,15:45:00
28Q680,Queens Gateway to Health Sciences Secondary School,Queens,160-20 Goethals Avenue,Jamaica,NY,11432,"160-20 Goethals Avenue
Jamaica, NY 11432
(40.718810094000446, -73.80650045499965)",08:00:00,14:30:00
08X348,Schuylerville Preparatory High School,Bronx,3000 East Tremont Avenue,Bronx,NY,10461,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)",08:00:00,15:40:00
14K474,PROGRESS High School for Professional Careers,Brooklyn,850 Grand Street,Brooklyn,NY,11211,"850 Grand Street
Brooklyn, NY 11211
(40.71196311300048, -73.94043436699963)",08:00:00,14:45:00
02M420,High School for Health Professions and Human Services,Manhattan,345 East 15Th Street,New York,NY,10003,"345 East 15Th Street
New York, NY 10003
(40.73248537800049, -73.98305338799963)",09:00:00,15:45:00
28Q350,Jamaica Gateway to the Sciences,Queens,167-01 Gothic Drive,Jamaica,NY,11432,"167-01 Gothic Drive
Jamaica, NY 11432
(40.713577459000476, -73.79651782499963)",08:15:00,15:00:00
29Q313,Benjamin Franklin High School for Finance & Information Technology,Queens,207-01 116th Avenue,Cambria Heights,NY,11411,"207-01 116th Avenue
Cambria Heights, NY 11411
(40.6978073300005, -73.74585775499963)",08:30:00,16:00:00
12X271,East Bronx Academy for the Future,Bronx,1716 Southern Boulevard,Bronx,NY,10460,"1716 Southern Boulevard
Bronx, NY 10460
(40.83695342600049, -73.88796175799968)",08:30:00,15:00:00
02M520,Murry Bergtraum High School for Business Careers,Manhattan,411 Pearl Street,New York,NY,10038,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)",08:00:00,15:00:00
06M211,Inwood Early College for Health and Information Technologies,Manhattan,650 Academy Street,New York,NY,10002,"650 Academy Street
New York, NY 10002
(40.86604554900049, -73.92485664199967)",08:30:00,15:00:00
24Q600,Queens Vocational and Technical High School,Queens,37-02 47 Avenue,Long Island City,NY,11101,"37-02 47 Avenue
Long Island City, NY 11101
(40.74218869400045, -73.92824329199965)",08:00:00,16:30:00
10X368,In-Tech Academy (M.S. / High School 368),Bronx,2975 Tibbett Avenue,Bronx,NY,10463,"2975 Tibbett Avenue
Bronx, NY 10463
(40.88005009300048, -73.90920904799964)",08:30:00,15:30:00
06M348,Washington Heights Expeditionary Learning School,Manhattan,511 West 182Nd Street,New York,NY,10033,"511 West 182Nd Street
New York, NY 10033
(40.84887878800049, -73.93080651699967)",08:00:00,15:00:00
18K629,Cultural Academy for the Arts and Sciences,Brooklyn,5800 Tilden Avenue,Brooklyn,NY,11203,"5800 Tilden Avenue
Brooklyn, NY 11203
(40.64866366300049, -73.92189876199967)",08:00:00,15:00:00
03M299,"High School for Arts, Imagination and Inquiry",Manhattan,122 Amsterdam Avenue,New York,NY,10023,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)",08:45:00,15:26:00
07X520,Foreign Language Academy of Global Studies,Bronx,470 Jackson Avenue,Bronx,NY,10455,"470 Jackson Avenue
Bronx, NY 10455
(40.81113885600047, -73.90978712699967)",07:30:00,15:00:00
08X312,Millennium Art Academy,Bronx,1980 Lafayette Avenue,Bronx,NY,10473,"1980 Lafayette Avenue
Bronx, NY 10473
(40.82230376500047, -73.85596138999966)",08:00:00,15:00:00
08X293,Renaissance High School for Musical Theater & Technology,Bronx,3000 East Tremont Avenue,Bronx,NY,10461,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)",08:15:00,15:00:00
